,stream,episode,time
0,training-simulation-logs-z6.log,30,20.722651481628418
1,training-simulation-logs-z6.log,61,22.52114200592041
2,training-simulation-logs-z5.log,67,22.655966997146606
3,training-simulation-logs-z5.log,25,22.7217857837677
4,training-simulation-logs-z7.log,22,22.737218141555786
5,training-simulation-logs-z7.log,18,22.7700514793396
6,training-simulation-logs-z5.log,51,22.78139352798462
7,training-simulation-logs-z6.log,24,22.97763204574585
8,training-simulation-logs-z7.log,31,23.000250577926636
9,training-simulation-logs-z5.log,66,23.023504972457886
10,training-simulation-logs-z6.log,66,24.052461862564087
11,training-simulation-logs-z5.log,64,24.290833234786987
12,training-simulation-logs-w6.log,253,24.331629514694214
13,training-simulation-logs-z7.log,15,24.470879077911377
14,training-simulation-logs-w7.log,251,24.47154927253723
15,training-simulation-logs-w6.log,35,25.60269331932068
16,training-simulation-logs-w6.log,100,25.649768114089966
17,training-simulation-logs-w7.log,160,26.003880977630615
18,training-simulation-logs-y2.log,117,26.096883296966553
19,training-simulation-logs-w5.log,137,26.868386268615723
20,training-simulation-logs-w5.log,107,26.936235189437866
21,training-simulation-logs-y2.log,97,27.004761219024658
22,training-simulation-logs-w5.log,1,27.07984709739685
23,training-simulation-logs-w5.log,46,27.36134934425354
24,training-simulation-logs-y2.log,136,27.473790407180786
25,training-simulation-logs-w4.log,90,27.806866884231567
26,training-simulation-logs-y2.log,68,27.818549871444702
27,training-simulation-logs-y2.log,140,28.267025470733643
28,training-simulation-logs-y2.log,122,28.688438892364502
29,training-simulation-logs-y2.log,27,28.951603651046753
30,training-simulation-logs-w5.log,84,29.76065731048584
31,training-simulation-logs-w4.log,82,29.766230821609497
32,training-simulation-logs-w4.log,59,29.842867136001587
33,training-simulation-logs-w5.log,124,29.954042196273804
34,training-simulation-logs-w4.log,127,30.018499851226807
35,training-simulation-logs-w5.log,40,30.15765619277954
36,training-simulation-logs-y2.log,148,30.17904806137085
37,training-simulation-logs-w4.log,138,30.20034909248352
38,training-simulation-logs-w5.log,115,30.3906352519989
39,training-simulation-logs-w5.log,39,31.355924129486084
